id,name,text,trans
1023001001010010,雛菜,ん～～～……,응~~~
0000000000000,プロデューサー,"雛菜？
どうしたんだ、そんなに唸って……","히나나?
왜그래, 그렇게 고민하고..."
1023001001010020,雛菜,"ね、プロデューサーは
かわいい雛菜とかっこいい雛菜、どっちがいいと思う～？","저기 프로듀서는
귀여운 히나나랑 멋진 히나나중에 뭐가 더 좋은거 같아~?"
0000000000000,プロデューサー,え……！？,어...!?
select,,"どっちも
必要なんじゃないか","둘다 
필요하잖아"
select,,"可愛い方
かな？",귀여운쪽일까?
select,,"かっこいい方
かな？",멋진쪽일까?
0000000000000,,"★選択肢①【どっちも
必要なんじゃないか】PREFECT","★선택지①【둘다 
필요하잖아】PREFECT"
1023001001010030,雛菜,"ん～、そうだよね……
この間撮影でどっちもできるねって言われて","응~ 그렇지...
저번에 촬영할 때 둘다 할 수 있겠다 해서"
1023001001010040,雛菜,"雛菜も、そうだな～？
って思ったから～","히나나도 그렇지?
라고 생각했으니까~"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(좋아, 즐겁게 이야기 했네)"
0000000000000,,"★選択肢②【可愛い方
かな？】GOOD",★선택지②【귀여운쪽 일까?】GOOD
1023001001010050,雛菜,"そっか～……
うん、そうだよね～","그런가...
응 그렇지~"
1023001001010060,雛菜,"楽しくてしあわせだと
かわいくなっちゃうもんね～？","즐겁고 행복하면
귀여워 지겠지~?"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,뭐 평범하게 이야기 했나
0000000000000,,"★選択肢③【かっこいい方
かな？】NORMAL",★선택지③【멋진쪽 일까?】NORMAL
1023001001010070,雛菜,え～、ほんと～！？,"에~, 정말~!?"
1023001001010080,雛菜,"そっか～、そういうのも
もっと挑戦するべきか～","그렇네, 그런것도
더 노력해야 하나"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(으윽... 이런! 다른 말을 할 걸 그랬어...)
info,produce_communications/102300100101.json,
译者,,
